"activity" "subject" "value"
"43" "LAYING" 8 -0.59533678345489
"44" "SITTING" 8 -0.600673533320371
"45" "STANDING" 8 -0.605993482687088
"46" "WALKING" 8 -0.146954599336204
"47" "WALKING_DOWNSTAIRS" 8 0.00160145094544304
"48" "WALKING_UPSTAIRS" 8 -0.14179250066879
"49" "LAYING" 9 -0.627386626286394
"50" "SITTING" 9 -0.60997046876361
"51" "STANDING" 9 -0.613981626306951
"52" "WALKING" 9 -0.252828358805236
"53" "WALKING_DOWNSTAIRS" 9 -0.156501892566705
"54" "WALKING_UPSTAIRS" 9 -0.340098264025389
"55" "LAYING" 10 -0.604927518574841
"56" "SITTING" 10 -0.596116271283258
"57" "STANDING" 10 -0.605014811783196
"58" "WALKING" 10 -0.176003777762687
"59" "WALKING_DOWNSTAIRS" 10 -0.0933115238128125
"60" "WALKING_UPSTAIRS" 10 -0.205733713321636
"61" "LAYING" 11 -0.595303144641248
"62" "SITTING" 11 -0.598457780278531
"63" "STANDING" 11 -0.604886977432674
"64" "WALKING" 11 -0.338059768711685
"65" "WALKING_DOWNSTAIRS" 11 -0.213173995361216
"66" "WALKING_UPSTAIRS" 11 -0.362325282497288
"67" "LAYING" 12 -0.601370216513872
"68" "SITTING" 12 -0.60855456226386
"69" "STANDING" 12 -0.605736466078446
"70" "WALKING" 12 -0.216009503152813
"71" "WALKING_DOWNSTAIRS" 12 -0.153828979531464
"72" "WALKING_UPSTAIRS" 12 -0.326609725707612
"73" "LAYING" 13 -0.602841604257323
"74" "SITTING" 13 -0.598516189463807
"75" "STANDING" 13 -0.615774742571177
"76" "WALKING" 13 -0.174015896411719
"77" "WALKING_DOWNSTAIRS" 13 -0.154798328885655
"78" "WALKING_UPSTAIRS" 13 -0.318594652444451
"79" "LAYING" 14 -0.610177608005162
"80" "SITTING" 14 -0.623596741200323
"81" "STANDING" 14 -0.631031797134703
"82" "WALKING" 14 -0.269661976895567
"83" "WALKING_DOWNSTAIRS" 14 -0.0195228493394599
"84" "WALKING_UPSTAIRS" 14 -0.14535777328429
"85" "LAYING" 15 -0.608613628686864
"86" "SITTING" 15 -0.60012367783369
"87" "STANDING" 15 -0.611901288939454
"88" "WALKING" 15 -0.276794393081715
"89" "WALKING_DOWNSTAIRS" 15 -0.117572917318394
"90" "WALKING_UPSTAIRS" 15 -0.286174878885419
"91" "LAYING" 16 -0.625143853489437
"92" "SITTING" 16 -0.595799444811891
"93" "STANDING" 16 -0.614099873786586
"94" "WALKING" 16 -0.3394456086821
"95" "WALKING_DOWNSTAIRS" 16 -0.202456371341026
"96" "WALKING_UPSTAIRS" 16 -0.365971891945078
"97" "LAYING" 17 -0.599068861906119
"98" "SITTING" 17 -0.601819633581572
"99" "STANDING" 17 -0.61632620123835
"100" "WALKING" 17 -0.276365528036381
"101" "WALKING_DOWNSTAIRS" 17 -0.230166805184095
"102" "WALKING_UPSTAIRS" 17 -0.298654572097386
"103" "LAYING" 18 -0.594513102996289
"104" "SITTING" 18 -0.597541256457032
"105" "STANDING" 18 -0.625999518491724
"106" "WALKING" 18 -0.342449748521331
"107" "WALKING_DOWNSTAIRS" 18 -0.34903537222669
"108" "WALKING_UPSTAIRS" 18 -0.409864052034829
"109" "LAYING" 19 -0.60334569421077
"110" "SITTING" 19 -0.617821356990207
"111" "STANDING" 19 -0.619975149879974
"112" "WALKING" 19 -0.0582919209468765
"113" "WALKING_DOWNSTAIRS" 19 0.131192702848313
"114" "WALKING_UPSTAIRS" 19 -0.172522155198731
"115" "LAYING" 20 -0.603095427272892
"116" "SITTING" 20 -0.611578372189852
"117" "STANDING" 20 -0.613397381806977
"118" "WALKING" 20 -0.0854573801276848
"119" "WALKING_DOWNSTAIRS" 20 -0.0716770818880729
"120" "WALKING_UPSTAIRS" 20 -0.206644877774993
"121" "LAYING" 21 -0.613675758877626
"122" "SITTING" 21 -0.602270092758525
"123" "STANDING" 21 -0.620404311959377
"124" "WALKING" 21 -0.200489403444651
"125" "WALKING_DOWNSTAIRS" 21 -0.133868540547457
"126" "WALKING_UPSTAIRS" 21 -0.272735241321592
"127" "LAYING" 22 -0.597893437112844
"128" "SITTING" 22 -0.608107074555336
"129" "STANDING" 22 -0.628399926772542
"130" "WALKING" 22 -0.121473745947508
"131" "WALKING_DOWNSTAIRS" 22 -0.131500793139993
"132" "WALKING_UPSTAIRS" 22 -0.16862879193324
"133" "LAYING" 23 -0.598603350517156
"134" "SITTING" 23 -0.591440568414947
"135" "STANDING" 23 -0.618083379460514
"136" "WALKING" 23 -0.0788643651638404
"137" "WALKING_DOWNSTAIRS" 23 -0.000956979995532116
"138" "WALKING_UPSTAIRS" 23 -0.243025295195815
"139" "LAYING" 24 -0.598072529579968
"140" "SITTING" 24 -0.610192323390129
"141" "STANDING" 24 -0.615423749421368
"142" "WALKING" 24 -0.309113759019627
"143" "WALKING_DOWNSTAIRS" 24 -0.21659658268443
"144" "WALKING_UPSTAIRS" 24 -0.340369136263789
"145" "LAYING" 25 -0.570587047807129
"146" "SITTING" 25 -0.604509610361155
"147" "STANDING" 25 -0.613945839713307
"148" "WALKING" 25 -0.385361945079112
"149" "WALKING_DOWNSTAIRS" 25 -0.335078553679007
"150" "WALKING_UPSTAIRS" 25 -0.426504552177634
"151" "LAYING" 26 -0.595254205333886
"152" "SITTING" 26 -0.603944118434526
"153" "STANDING" 26 -0.613241650652751
"154" "WALKING" 26 -0.271406731805143
"155" "WALKING_DOWNSTAIRS" 26 -0.172518329775734
"156" "WALKING_UPSTAIRS" 26 -0.305115745183321
"157" "LAYING" 27 -0.594096888281148
"158" "SITTING" 27 -0.603338306546586
"159" "STANDING" 27 -0.610806197582251
"160" "WALKING" 27 -0.266781630894431
"161" "WALKING_DOWNSTAIRS" 27 -0.158161316639386
"162" "WALKING_UPSTAIRS" 27 -0.342018443149963
"163" "LAYING" 28 -0.631110193103237
"164" "SITTING" 28 -0.616165945460807
"165" "STANDING" 28 -0.618516796926162
"166" "WALKING" 28 -0.285088922798751
"167" "WALKING_DOWNSTAIRS" 28 -0.12543827491249
"168" "WALKING_UPSTAIRS" 28 -0.295372554581159
"169" "LAYING" 29 -0.584565825026074
"170" "SITTING" 29 -0.599502576192753
"171" "STANDING" 29 -0.609616980359735
"172" "WALKING" 29 -0.216790400944455
"173" "WALKING_DOWNSTAIRS" 29 -0.166116177694424
"174" "WALKING_UPSTAIRS" 29 -0.245353572484911
"175" "LAYING" 30 -0.610720545199801
"176" "SITTING" 30 -0.61101762170298
"177" "STANDING" 30 -0.622602898948469
"178" "WALKING" 30 -0.245849040422536
"179" "WALKING_DOWNSTAIRS" 30 -0.215537696652668
"180" "WALKING_UPSTAIRS" 30 -0.351435833812871
